OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
088,2022088000511,248098670,H,278IX2M24091,1,B.Q.E.,WB@,N ELLIOT PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001125,248206186,H,278IX2MR14C1,1,B.Q.E.,WB@,EXR WILLIAMSBURG BR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001086,248002458,H,278IX2M23105,1,B.Q.E.,EB@,LEE AV BR,2,3,0,2,3,0,1,0,2,0,0,0,0,0,1,0
090,2022090001104,248264731,H,278IX2M23112,1,B.Q.E.,EB@,METROPOLITAN AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001126,248322953,H,278IX2M23108,1,B.Q.E.,EB@,S 3 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001062,247799467,H,278IX2M24101,1,B.Q.E.,WB@,KENT AV,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001110,248206184,H,278IX2M24101,2,B.Q.E.,WB@,KENT AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
090,2022090001161,248630089,H,278IX2M24101,3,B.Q.E.,WB@,KENT AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001152,248492261,H,278IX2M24112,1,B.Q.E.,WB@,METROPOLITAN AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001130,248322956,H,278IX2M24108,1,B.Q.E.,WB@,S 3 ST,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
090,2022090001083,248002455,H,278IX2M24106,1,B.Q.E.,WB@,WILLIAMSBURGH ST W,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
090,2022090001039,247730147,B,WBB 04003002,1,WILMSBRG BR OUTER,EB@,BKLYN SIDE,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1
090,2022090001158,248541013,B,WBB 04004002,1,WILMSBRG BR OUTER,WB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000755,248672234,H,278IX2MR15D1,1,B.Q.E.,WB@,ENR McGUINESS BL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000660,247506137,H,278IX2MR15B1,1,B.Q.E.,EB@,ENR VANDERVOORT AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000744,248493892,H,278IX2MR15C1,1,B.Q.E.,WB@,EXR #34 MEEKER AV,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000710,248075764,H,278IX2M23123,1,B.Q.E.,EB@,APOLLO ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000709,248161909,H,278IX2M23123,2,B.Q.E.,EB@,APOLLO ST,3,2,0,3,2,0,2,0,0,0,0,0,0,0,1,0
094,2022094000665,247551960,H,278IX2M23120,1,B.Q.E.,EB@,KINGSLAND AV/MONITOR,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000757,248672236,H,278IX2M23118,1,B.Q.E.,EB@,MCGUINNESS/HUMBOLDT,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000657,247507447,H,278IX2M23113,1,B.Q.E.,EB@,UNION ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000731,248849048,H,278IX2M23113,2,B.Q.E.,EB@,UNION ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000662,247507448,H,278IX2M24115,1,B.Q.E.,WB@,LORIMER ST,3,3,0,3,3,0,2,0,1,0,0,0,0,0,1,0
094,2022094000696,247947406,H,278IX2M24115,2,B.Q.E.,WB@,LORIMER ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000760,248849050,H,278IX2M24115,3,B.Q.E.,WB@,LORIMER ST,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0
094,2022094000679,247883721,H,278IX2M24128,1,B.Q.E.,WB@,MID KOSCIUSZKO BR,2,2,0,2,2,0,2,0,0,0,0,0,0,0,1,0
094,2022094000688,247883728,H,278IX2M24128,2,B.Q.E.,WB@,MID KOSCIUSZKO BR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000730,248325834,H,278IX2M24128,3,B.Q.E.,WB@,MID KOSCIUSZKO BR,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000686,247883727,H,278IX2M24121,1,B.Q.E.,WB@,MORGAN AV,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
094,2022094000743,248493891,H,278IX2M24121,2,B.Q.E.,WB@,MORGAN AV,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
094,2022094000766,248849054,H,278IX2M24121,3,B.Q.E.,WB@,MORGAN AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
094,2022094000707,248063439,H,278IX2M24113,1,B.Q.E.,WB@,UNION ST,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
